행정동,도로명주소,지번주소,위도,경도
평창동,서울특별시 종로구 평창길 12,서울특별시 종로구 평창동 345-4,37.6057868,126.9645642
평창동,서울특별시 종로구 평창길 83 놀이터,서울특별시 종로구 평창동 566-4,37.6101333,126.9639376
평창동,서울특별시 종로구 평창길 99,서울특별시 종로구 평창동 563-2,37.6113449,126.9633998
평창동,서울특별시 종로구 평창길 213,서울특별시 종로구 평창동 494-10,37.6125162,126.9695678
평창동,서울특별시 종로구 평창길 238,서울특별시 종로구 평창동 488-2,37.6134365,126.9717751
평창동,서울특별시 종로구 평창길 268 참샘골 공원 좌축 삼거리,서울특별시 종로구 평창동 476-21,37.6145322,126.9744671
평창동,서울특별시 종로구 평창길 286,서울특별시 종로구 평창동 449-9,37.6147421,126.9758122
평창동,서울특별시 종로구 평창길 342 앞 삼거리 동원샘물 보급소벽,서울특별시 종로구 평창동 111-7,37.6123131,126.9783146
평창동,서울특별시 종로구 평창4길 21-2,서울특별시 종로구 평창동 562-31,37.6097661,126.9631499
평창동,서울특별시 종로구 평창6길 91,서울특별시 종로구 평창동 산6-391,37.6178334,126.9769365
평창동,서울특별시 종로구 평창7길 31,서울특별시 종로구 평창동 443-12,37.6168051,126.9757725
평창동,서울특별시 종로구 평창11길 49,서울특별시 종로구 평창동 378-6,37.6097283,126.9660499
평창동,서울특별시 종로구 평창11길 90 인자인케이앞,서울특별시 종로구 평창동 530-18,37.6130663,126.9675554
평창동,서울특별시 종로구 평창12길 8-3 동사무소위 삼정하이빌 개천가,서울특별시 종로구 평창동 168-8,37.6064533,126.9676129
평창동,서울특별시 종로구 평창12길 8-18,서울특별시 종로구 평창동 164,37.6071397,126.9688379
평창동,서울특별시 종로구 평창12길 11,서울특별시 종로구 평창동 181,37.6065487,126.9671925
평창동,서울특별시 종로구 평창14길 2 신한빌라앞,서울특별시 종로구 평창동 350-1,37.6081361,126.9663438
평창동,서울특별시 종로구 평창20길 48,서울특별시 종로구 평창동 139-5,37.6110922,126.9705502
평창동,서울특별시 종로구 평창20길 11,서울특별시 종로구 평창동 148-21,37.6082812,126.9716083
평창동,서울특별시 종로구 평창21길 9-34,서울특별시 종로구 평창동 154-16,37.6080057,126.9710118
평창동,서울특별시 종로구 평창24길 9,서울특별시 종로구 평창동 75-3,37.6087607,126.9749428
평창동,서울특별시 종로구 평창24길 24,서울특별시 종로구 평창동 108-9 엘림빌라,37.6088639,126.9764477
평창동,서울특별시 종로구 평창25길 4,서울특별시 종로구 평창동 102,37.6100931,126.9748113
평창동,서울특별시 종로구 평창26길 2,서울특별시 종로구 평창동 99-56,37.6105673,126.9744311
평창동,서울특별시 종로구 평창 30길 11,서울특별시 종로구 평창동 459-2,37.6108141,126.9748353
평창동,서울특별시 종로구 평창 30길 66,서울특별시 종로구 평창동 475-20,37.6132081,126.9724465
평창동,서울특별시 종로구 평창34길 4,서울특별시 종로구 평창동 452-1,37.6131637,126.9766721
평창동,서울특별시 종로구 평창42길 44-29,서울특별시 종로구 평창동 422-1,37.6137891,126.9812507
구기동,서울특별시 종로구 평창길 43-1,서울특별시?종로구?구기동 17-14,37.6075063,126.9613238
구기동,서울특별시 종로구 진흥로 22가길 2,서울특별시 종로구 구기동 55-13,37.6061261,126.9580586
구기동,서울특별시 종로구 홍지문길 83,서울특별시 종로구 구기동 51-4,37.6055711,126.9574661
