순서,도로명주소,위도,경도,수거쓰레기종류
1,서울특별시 종로구 평창길 12,37.6057868,126.9645642,의류
2,서울특별시 종로구 평창길 83 놀이터,37.6101333,126.9639376,의류
3,서울특별시 종로구 평창길 99,37.6113449,126.9633998,의류
4,서울특별시 종로구 평창길 213,37.6125162,126.9695678,의류
5,서울특별시 종로구 평창길 238,37.6134365,126.9717751,의류
6,서울특별시 종로구 평창길 268 참샘골 공원 좌축 삼거리,37.6145322,126.9744671,의류
7,서울특별시 종로구 평창길 286,37.6147421,126.9758122,의류
8,서울특별시 종로구 평창길 342 앞 삼거리 동원샘물 보급소벽,37.6123131,126.9783146,의류
9,서울특별시 종로구 평창4길 21-2,37.6097661,126.9631499,의류
10,서울특별시 종로구 평창6길 91,37.6178334,126.9769365,의류
11,서울특별시 종로구 평창7길 31,37.6168051,126.9757725,의류
12,서울특별시 종로구 평창11길 49,37.6097283,126.9660499,의류
13,서울특별시 종로구 평창11길 90 인자인케이앞,37.6130663,126.9675554,의류
14,서울특별시 종로구 평창12길 8-3 동사무소위 삼정하이빌 개천가,37.6064533,126.9676129,의류
15,서울특별시 종로구 평창12길 8-18,37.6071397,126.9688379,의류
16,서울특별시 종로구 평창12길 11,37.6065487,126.9671925,의류
17,서울특별시 종로구 평창14길 2 신한빌라앞,37.6081361,126.9663438,의류
18,서울특별시 종로구 평창20길 48,37.6110922,126.9705502,의류
19,서울특별시 종로구 평창20길 11,37.6082812,126.9716083,의류
20,서울특별시 종로구 평창21길 9-34,37.6080057,126.9710118,의류
21,서울특별시 종로구 평창24길 9,37.6087607,126.9749428,의류
22,서울특별시 종로구 평창24길 24,37.6088639,126.9764477,의류
23,서울특별시 종로구 평창25길 4,37.6100931,126.9748113,의류
24,서울특별시 종로구 평창26길 2,37.6105673,126.9744311,의류
25,서울특별시 종로구 평창 30길 11,37.6108141,126.9748353,의류
26,서울특별시 종로구 평창 30길 66,37.6132081,126.9724465,의류
27,서울특별시 종로구 평창34길 4,37.6131637,126.9766721,의류
28,서울특별시 종로구 평창42길 44-29,37.6137891,126.9812507,의류
29,서울특별시 종로구 평창길 43-1,37.6075063,126.9613238,의류
30,서울특별시 종로구 진흥로 22가길 2,37.6061261,126.9580586,의류
31,서울특별시 종로구 홍지문길 83,37.6055711,126.9574661,의류
32,서울특별시 종로구 홍지문길 56,37.6032521,126.9580987,의류
33,서울특별시 종로구 홍지문길 36,37.6017372,126.9579726,의류
34,서울특별시 종로구 홍지문길 23,37.6016102,126.9568533,의류
35,서울특별시 종로구 자하문로 41길 4,37.5976575,126.9622874,의류
36,서울특별시 종로구 자하문로 38길 41,37.5940724,126.9654739,의류
37,서울특별시 종로구 비봉5길 15,37.6136811,126.9544761,의류
38,서울특별시 종로구 비봉길 88,37.6151544,126.9539909,의류
39,서울특별시 종로구 백석동길 40,37.5937423,126.9668826,의류
40,서울특별시 종로구 백석동길 61,37.5941837,126.9678956,의류
41,서울특별시 종로구 혜화로5길15,37.5867041,126.9991587,의류
42,서울특별시 종로구 혜화로5길52,37.5872658,126.9995248,의류
43,서울특별시 종로구 성균관로10길25,37.5885086,126.9983872,의류
44,서울특별시 종로구 성균관로17길28,37.5905909,126.9974308,의류
45,서울특별시 종로구 성균관로13길13,37.5897041,126.9969897,의류
46,서울특별시 종로구 성균관로13길4,37.5895176,126.9973093,의류
47,서울특별시 종로구 성균관로70,37.5887871,126.9972285,의류
48,서울특별시 종로구 성균관로10길4,37.5883897,126.9971206,의류
49,서울특별시 종로구 성균관로56-1,37.5877021,126.9967902,의류
50,서울특별시 종로구 성균관로14길48,37.5872393,126.9974644,의류
51,서울특별시 종로구 성균관로7길22-8,37.5872834,126.9962976,의류
52,서울특별시 종로구 명륜1길9,37.5882813,126.9949707,의류
53,서울특별시 종로구 성균관로7길39,37.5881602,126.9955611,의류
54,서울특별시 종로구 성균관로5길29,37.5845665,126.9957341,의류
55,서울특별시 종로구 성균관로5길43,37.5850204,126.9950712,의류
56,서울특별시 종로구 자하문로 33길 22-2,37.5863527,126.9688077,의류
57,서울특별시 종로구 자하문로33길 32,37.5864819,126.9681265,의류
58,서울특별시 종로구 자하문로 33다길 47-4,37.5867612,126.9670923,의류
59,서울특별시 종로구 자하문로 21길 10,37.5832068,126.9696889,의류
60,서울특별시 종로구 필운대로 13길 11,37.5847951,126.9668704,의류
61,서울특별시 종로구 필운대로 10길 17,37.5838383,126.9677215,의류
62,서울특별시 종로구 자하문로 17길 36,37.5814233,126.9687285,의류
63,서울특별시 종로구 필운대로 69,37.5820091,126.9677014,의류
64,서울특별시 종로구 옥인 5길 7,37.5826327,126.9648397,의류
65,서울특별시 종로구 옥인 4길 25,37.5819325,126.9651324,의류
66,서울특별시 종로구 옥인 3길 10,37.5808067,126.9662236,의류
67,서울특별시 종로구 옥인 3길 32-1,37.5798917,126.9656475,의류
68,서울특별시 종로구 옥인 3길 18-7,37.5808921,126.9656789,의류
69,서울특별시 종로구 옥인 6길 19,37.5811177,126.9646908,의류
70,서울특별시 종로구 옥인 6길 14,37.5813758,126.9643251,의류
71,서울특별시 종로구 옥인 6가길 22,37.5813032,126.9652996,의류
72,서울특별시 종로구 필운대로 5나길 17,37.5798983,126.9674362,의류
73,서울특별시 종로구 필운대로 25-4,37.5782814,126.9690322,의류
74,서울특별시 종로구 사직로 9길 1,37.5762755,126.9683919,의류
75,서울특별시 종로구 사직로 9길 16-1,37.5770916,126.9679505,의류
76,서울특별시 종로구 필운대로 1길 40,37.5779873,126.9673381,의류
77,서울특별시 종로구 자하문로 12길 33,37.5806956,126.9720671,의류
78,서울특별시 종로구 자하문로 24길 24,37.5828951,126.9711311,의류
79,서울특별시 종로구 자하문로 26길 1-3,37.5845939,126.9706661,의류
80,서울특별시 종로구 자하문로 30길 19-1,37.5856241,126.9710143,의류
81,서울특별시 종로구 자하문로 36길 17,37.5899044,126.9679661,의류
82,서울특별시 종로구 사직로 1가길 16-가,37.5733433,126.9638362,의류
83,서울특별시 종로구 사직로 1길 1,37.5727074,126.9622262,의류
84,서울특별시 종로구 통일로 16길 5,37.5758613,126.9571446,의류
85,서울특별시 종로구 인왕산로 1길 66-가,37.5760617,126.9625081,의류
86,서울특별시 종로구 사직로 1라길 41,37.5756543,126.9622872,의류
87,서울특별시 종로구 사직로 1길 58-9,37.5748442,126.9623777,의류
88,서울특별시 종로구 사직로 1라길 9,37.5743017,126.9621588,의류
89,서울특별시 종로구 인왕산로 1길 55,37.5752541,126.9628814,의류
90,서울특별시 종로구 통일로 12길 76,37.5756612,126.9620381,의류
91,서울특별시 종로구 통일로 12길 62,37.5750385,126.9619335,의류
92,서울특별시 종로구 통일로 12길 51,37.5747288,126.9615529,의류
93,서울특별시 종로구 사직로 1길 28-3 나,37.5737309,126.9628346,의류
94,서울특별시 종로구 사직로 1길 24,37.5734691,126.9627704,의류
95,서울특별시 종로구 사직로 1길 12-3,37.5730904,126.9627416,의류
96,서울특별시 종로구 율곡로 19길 33-4,37.5767661,127.0066731,의류
97,서울특별시 종로구 이화장 1길 28,37.5775258,127.0059497,의류
98,서울특별시 종로구 이화장 2길 23,37.5782622,127.0056569,의류
99,서울특별시 종로구 동숭 1길 35,37.5792821,127.0058471,의류
100,서울특별시 종로구 이화장2길15,37.5781062,127.0053193,의류
101,서울특별시 종로구 동숭1길 27,37.5796064,127.0058541,의류
102,서울특별시 종로구 동숭3길 7,37.5814238,127.0044713,의류
103,서울특별시 종로구 동숭 3길 38,37.5826979,127.0048959,의류
