연번,자치구명,도로(가로)명,세부 위치,설치 장소 유형,수거 쓰레기 종류,형태,위도,경도
3,종로구,자하문로,자하문로 28,도로(가로)변,일반쓰레기,일반 사각 쓰레기통,37.5786002,126.971824
4,종로구,자하문로,자하문로 28, 도로(가로)변,재활용,일반 사각 쓰레기통,37.5786002,126.971824
5,종로구,자하문로,자하문로 44, 도로(가로)변,일반쓰레기,일반 사각 쓰레기통,37.5799606,126.971529
6,종로구,자하문로,자하문로 44, 도로(가로)변,재활용,일반 사각 쓰레기통,37.5799606,126.971529
7,종로구,자하문로,자하문로 68(효자동 정류소)," 정류장(버스, 택시 등)",일반쓰레기, 항아리형 쓰레기통,37.5820958,126.970928
8,종로구,자하문로,자하문로 68(효자동 정류소)," 정류장(버스, 택시 등)",재활용, 항아리형 쓰레기통,37.5820958,126.970928
11,종로구,자하문로,자하문로13-4앞, 도로(가로)변,일반쓰레기,일반 사각 쓰레기통,37.5801496,126.970861
12,종로구,자하문로,자하문로13-4앞, 도로(가로)변,재활용,일반 사각 쓰레기통,37.5801496,126.970861
13,종로구,율곡로,삼청로1 맞은편 인도,"광장, 공원 등 다중집합장소",일반쓰레기,일반 사각 쓰레기통,37.5759255,126.977451
14,종로구,율곡로,삼청로1 맞은편 인도,"광장, 공원 등 다중집합장소",재활용,일반 사각 쓰레기통,37.5759255,126.977451
15,종로구,자하문로,자하문로 13-2,도로(가로)변,일반쓰레기, 항아리형 쓰레기통,37.5773569,126.971949
16,종로구,자하문로,자하문로 13-2,도로(가로)변,재활용, 항아리형 쓰레기통,37.5773569,126.971949
17,종로구,자하문로,자하문로 82(경복궁 아트홀),도로(가로)변,일반쓰레기, 항아리형 쓰레기통,37.5833391,126.970679
18,종로구,자하문로,자하문로 82(경복궁 아트홀),도로(가로)변,재활용, 항아리형 쓰레기통,37.5833391,126.970679
19,종로구,필운대로6길,필운대로6길 3(통인시장 정자앞),도로(가로)변,일반쓰레기, 항아리형 쓰레기통,37.5808879,126.968823
20,종로구,필운대로6길,필운대로6길 3(통인시장 정자앞),도로(가로)변,재활용, 항아리형 쓰레기통,37.5808879,126.968823
22,종로구,새문안로,새문안로 82 에스타워, 도로(가로)변,일반쓰레기,일반 사각 쓰레기통,37.5697169,126.973899
23,종로구,새문안로,새문안로 82 에스타워, 도로(가로)변,재활용,일반 사각 쓰레기통,37.5697169,126.973899
49,종로구,인사동길,인사동길51,광장 등 다중집합장소,일반쓰레기, 항아리형 쓰레기통,37.5748274,126.983723
50,종로구,인사동길,인사동길51,광장 등 다중집합장소,재활용, 항아리형 쓰레기통,37.5748274,126.983723
55,종로구,율곡로,율곡로46,도로(가로)변,일반쓰레기,태양광 압축 쓰레기통,37.5759898,126.984685
56,종로구,율곡로,율곡로46,도로(가로)변,재활용,태양광 압축 쓰레기통,37.5759898,126.984685
57,종로구,삼일대로,삼일대로467,도로(가로)변,일반쓰레기,일반 사각 쓰레기통,37.575981,126.985591
58,종로구,삼일대로,삼일대로467,도로(가로)변,재활용,일반 사각 쓰레기통,37.575981,126.985591
65,종로구,종로,종로1길55 열린마당,도로(가로)변,일반쓰레기,태양광 압축 쓰레기통,37.5753221,126.978867
66,종로구,종로,종로1길55 열린마당,도로(가로)변,재활용,태양광 압축 쓰레기통,37.5753221,126.978867
71,종로구,세종대로,세종대로175  세종문화회관,도로(가로)변,일반쓰레기, 항아리형 쓰레기통,37.5722221,126.975913
76,종로구,새문안로,신문로2가 103-1 삼원약국,도로(가로)변,일반쓰레기,일반 사각 쓰레기통,37.570851,126.969201
77,종로구,세종대로,신문로2가 103-2 삼원약국,도로(가로)변,재활용,일반 사각 쓰레기통,37.570851,126.969201
80,종로구,통일로,통일로134,도로(가로)변,일반쓰레기,일반 사각 쓰레기통,37.5666335,126.966305
81,종로구,통일로,통일로134,도로(가로)변,재활용,일반 사각 쓰레기통,37.5666335,126.966305
82,종로구,사직로,사직동 주민센터,도로(가로)변,일반쓰레기,항아리형 쓰레기통,37.5761487,126.968836
83,종로구,사직로,사직동 주민센터,도로(가로)변,재활용,항아리형 쓰레기통,37.5761487,126.968836
93,종로구,종로,종로2가 YBM앞,"정류장(버스, 택시 등)",일반쓰레기,기타(그물형),37.5699357,126.988727
103,종로구,종로,종로160 세운상가,도로(가로)변,일반쓰레기,일반 사각 쓰레기통,37.5692695,126.995214
104,종로구,종로,종로161 세운상가,도로(가로)변,재활용,일반 사각 쓰레기통,37.5692695,126.995214
105,종로구,돈화문로,돈화문로 89,도로(가로)변,일반쓰레기,일반 사각 쓰레기통,37.5763959,126.990153
106,종로구,돈화문로,돈화문로 89,도로(가로)변,재활용,일반 사각 쓰레기통,37.5763959,126.990153
111,종로구,율곡로,운니동 98-7,도로(가로)변,일반쓰레기,항아리형 쓰레기통,37.5763687,126.988217
112,종로구,율곡로,운니동 98-8,도로(가로)변,재활용,항아리형 쓰레기통,37.5763687,126.988217
115,종로구,북촌로,북촌로4길 7 재동초교앞,도로(가로)변,일반쓰레기, 항아리형 쓰레기통,37.5798462,126.985579
116,종로구,북촌로,북촌로4길 7 재동초교앞,도로(가로)변,재활용, 항아리형 쓰레기통,37.5798462,126.985579
119,종로구,북촌로,북촌로51 돈미약국앞,도로(가로)변,일반쓰레기,마대걸이형 쓰레기통,37.5813237,126.984876
120,종로구,북촌로,북촌로51 돈미약국앞,도로(가로)변,재활용,마대걸이형 쓰레기통,37.5813237,126.984876
121,종로구,북촌로,북촌로35 가회동주민센터앞,도로(가로)변,일반쓰레기, 항아리형 쓰레기통,37.5800893,126.984763
122,종로구,북촌로,북촌로35 가회동주민센터앞,도로(가로)변,재활용, 항아리형 쓰레기통,37.5800893,126.984763
123,종로구,북촌로,북촌로5가길3 정독도서관,도로(가로)변,일반쓰레기,마대걸이형 쓰레기통,37.5797286,126.982171
124,종로구,북촌로,북촌로5가길3 정독도서관,도로(가로)변,재활용,마대걸이형 쓰레기통,37.5797286,126.982171
